id,vid,token,vtoken,lctoken,freq,loglik,logfreq,llrank,freqrank,idbrac10,idbrac50,idbrac100,vidbrac10,vidbrac50,vidbrac100,freqbrac10,freqbrac50,freqbrac100,llbrac10,llbrac50,llbrac100
185,185,occurred,occurred,occurred,1,-8.64,0.0,126,62,6,32,64,6,32,64,4,20,41,8,42,84
185,"", ,"","",0,"",-Infinity,"","",6,32,64,0,0,0,0,0,0,0,0,0
186,186,to,to,to,9,-158.44,2.1972245773362196,32,150,6,32,65,6,32,65,10,50,100,2,10,21
186,"", ,"","",0,"",-Infinity,"","",6,32,65,0,0,0,0,0,0,0,0,0
187,187,her,her,her,8,-101.76,2.0794415416798357,5,147,6,32,65,6,32,65,9,49,98,0,1,3
187,"", ,"","",0,"",-Infinity,"","",6,32,65,0,0,0,0,0,0,0,0,0
188,188,that,that,that,3,-46.65,1.0986122886681098,86,131,6,32,65,6,32,65,8,43,87,5,28,57
188,"", ,"","",0,"",-Infinity,"","",6,32,65,0,0,0,0,0,0,0,0,0
189,189,she,she,she,7,-119.53,1.9459101490553132,8,145,6,33,66,6,33,66,9,48,96,0,2,5
189,"", ,"","",0,"",-Infinity,"","",6,33,66,0,0,0,0,0,0,0,0,0
190,190,ought,ought,ought,1,-8.64,0.0,127,101,6,33,66,6,33,66,6,33,67,8,42,84
190,"", ,"","",0,"",-Infinity,"","",6,33,66,0,0,0,0,0,0,0,0,0
191,191,to,to,to,9,-158.44,2.1972245773362196,32,150,6,33,66,6,33,66,10,50,100,2,10,21
191,"", ,"","",0,"",-Infinity,"","",6,33,66,0,0,0,0,0,0,0,0,0
192,192,have,have,have,1,-8.64,0.0,113,58,6,33,67,6,33,67,3,19,38,7,37,75
192,"", ,"","",0,"",-Infinity,"","",6,33,67,0,0,0,0,0,0,0,0,0
193,193,wondered,wondered,wondered,1,-8.68,0.0,132,55,6,33,67,6,33,67,3,18,36,8,44,88
193,"", ,"","",0,"",-Infinity,"","",6,33,67,0,0,0,0,0,0,0,0,0
194,194,at,at,at,3,-52.81,1.0986122886681098,89,136,6,33,67,6,33,67,9,45,90,5,29,59
194,"", ,"","",0,"",-Infinity,"","",6,33,67,0,0,0,0,0,0,0,0,0
195,195,this,this,this,1,-13.82,0.0,19,54,6,34,68,6,34,68,3,18,36,1,6,12
195,"",", ","","",0,"",-Infinity,"","",6,34,68,0,0,0,0,0,0,0,0,0
196,196,but,but,but,3,-39.25,1.0986122886681098,82,138,6,34,68,6,34,68,9,46,92,5,27,54
196,"", ,"","",0,"",-Infinity,"","",6,34,68,0,0,0,0,0,0,0,0,0
197,197,at,at,at,3,-52.81,1.0986122886681098,89,136,6,34,68,6,34,68,9,45,90,5,29,59
197,"", ,"","",0,"",-Infinity,"","",6,34,68,0,0,0,0,0,0,0,0,0
198,198,the,the,the,15,-264.07,2.70805020110221,70,103,6,34,69,6,34,69,6,34,68,4,23,46
198,"", ,"","",0,"",-Infinity,"","",6,34,69,0,0,0,0,0,0,0,0,0
199,199,time,time,time,2,-20.02,0.6931471805599453,57,117,6,34,69,6,34,69,7,39,78,3,19,38
199,"","
","","",0,"",-Infinity,"","",6,34,69,0,0,0,0,0,0,0,0,0
200,200,it,it,it,11,-211.44,2.3978952727983707,65,102,6,34,69,6,34,69,6,34,68,4,21,43
200,"", ,"","",0,"",-Infinity,"","",6,34,69,0,0,0,0,0,0,0,0,0
201,201,all,all,all,1,-14.11,0.0,23,49,7,35,70,7,35,70,3,16,32,1,7,15
201,"", ,"","",0,"",-Infinity,"","",7,35,70,0,0,0,0,0,0,0,0,0
202,202,seemed,seemed,seemed,1,-8.64,0.0,119,47,7,35,70,7,35,70,3,15,31,7,39,79
202,"", ,"","",0,"",-Infinity,"","",7,35,70,0,0,0,0,0,0,0,0,0
203,203,quite,quite,quite,1,-17.08,0.0,37,46,7,35,70,7,35,70,3,15,30,2,12,24
203,"", ,"","",0,"",-Infinity,"","",7,35,70,0,0,0,0,0,0,0,0,0
204,204,natural,natural,natural,1,-10.05,0.0,0,44,7,35,71,7,35,71,2,14,29,0,0,0
204,"",); ,"","",0,"",-Infinity,"","",7,35,71,0,0,0,0,0,0,0,0,0
205,205,but,but,but,3,-39.25,1.0986122886681098,82,138,7,35,71,7,35,71,9,46,92,5,27,54
205,"", ,"","",0,"",-Infinity,"","",7,35,71,0,0,0,0,0,0,0,0,0
206,206,when,when,when,3,-51.23,1.0986122886681098,88,134,7,36,72,7,36,72,8,44,89,5,29,58
206,"", ,"","",0,"",-Infinity,"","",7,36,72,0,0,0,0,0,0,0,0,0
207,207,the,the,the,15,-264.07,2.70805020110221,70,103,7,36,72,7,36,72,6,34,68,4,23,46
207,"", ,"","",0,"",-Infinity,"","",7,36,72,0,0,0,0,0,0,0,0,0
208,208,Rabbit,Rabbit,rabbit,6,-110.09,1.791759469228055,7,142,7,36,72,7,36,72,9,47,94,0,2,4
208,"", ,"","",0,"",-Infinity,"","",7,36,72,0,0,0,0,0,0,0,0,0
209,209,actually,actually,actually,1,-8.64,0.0,122,41,7,36,73,7,36,73,2,13,27,8,40,81
209,"", ,"","",0,"",-Infinity,"","",7,36,73,0,0,0,0,0,0,0,0,0
210,210,TOOK,TOOK,took,1,-16.03,0.0,34,40,7,36,73,7,36,73,2,13,26,2,11,22
210,"", ,"","",0,"",-Infinity,"","",7,36,73,0,0,0,0,0,0,0,0,0
211,211,A,A,a,8,-131.86,2.0794415416798357,21,149,7,36,73,7,36,73,9,49,99,1,7,14
211,"", ,"","",0,"",-Infinity,"","",7,36,73,0,0,0,0,0,0,0,0,0
212,212,WATCH,WATCH,watch,2,-20.02,0.6931471805599453,59,124,7,37,74,7,37,74,8,41,82,3,19,39
212,"","
","","",0,"",-Infinity,"","",7,37,74,0,0,0,0,0,0,0,0,0
213,213,OUT,OUT,out,3,-55.04,1.0986122886681098,90,129,7,37,74,7,37,74,8,43,86,6,30,60
213,"", ,"","",0,"",-Infinity,"","",7,37,74,0,0,0,0,0,0,0,0,0
214,214,OF,OF,of,8,-132.92,2.0794415416798357,22,146,7,37,74,7,37,74,9,48,97,1,7,14
214,"", ,"","",0,"",-Infinity,"","",7,37,74,0,0,0,0,0,0,0,0,0
215,215,ITS,ITS,its,1,-12.96,0.0,12,38,7,37,75,7,37,75,2,12,25,0,4,8
215,"", ,"","",0,"",-Infinity,"","",7,37,75,0,0,0,0,0,0,0,0,0
216,216,WAISTCOAT,WAISTCOAT,waistcoat,2,-21.66,0.6931471805599453,64,104,7,37,75,7,37,75,6,34,69,4,21,42
216,"",-,"","",0,"",-Infinity,"","",7,37,75,0,0,0,0,0,0,0,0,0
217,217,POCKET,POCKET,pocket,2,-26.91,0.6931471805599453,69,127,7,37,75,7,37,75,8,42,84,4,23,46
217,"",", ","","",0,"",-Infinity,"","",7,37,75,0,0,0,0,0,0,0,0,0
218,218,and,and,and,8,-143.51,2.0794415416798357,30,148,7,38,76,7,38,76,9,49,98,2,10,20
218,"", ,"","",0,"",-Infinity,"","",7,38,76,0,0,0,0,0,0,0,0,0
219,219,looked,looked,looked,1,-8.64,0.0,114,35,7,38,76,7,38,76,2,11,23,7,38,76
219,"", ,"","",0,"",-Infinity,"","",7,38,76,0,0,0,0,0,0,0,0,0
